"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Terminal view commands","Copy","⇧⌘C","Terminal Widget in Focus"
"File","Properties","⌥↩","In Windows"
"Text Editing","Scroll Line Down","⌃Z","Editing Text"
"Edit","Context Information","⌥?","In Windows"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Views","Show View (Console)","⌘4","In Windows"
"Text Editing","Scroll Line Up","Esc Z","Editing Text"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Navigate","Activate Task","⌘F9","In Windows"
"File","Properties","⌘I","In Windows"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Text Editing","Delete Previous Word","Esc ⌫","Editing Text"
"Text Editing","Text End","⌃X ]","Editing Text"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Text Editing","Line Start","⌃A","Editing Text"
"Text Editing","Text Start","⌥<","Editing Text"
"Window","Quick Switch Editor","⌘E","In Windows"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"File","Close All","⇧⌘W","In Windows"
"Navigate","Open Type Hierarchy","⇧⌘H","In C/C++ Views"
"Editor Commands","Show outline","⌃6","Specfile Editor Context"
"Edit","Context Information","⇧⌥?","In Windows"
"Navigate","Open Remote Task","⇧⌥⌘F12","In Windows"
"Text Editing","Line Up","⌃P","Editing Text"
"Text Editing","Text Start","Esc ⇧<","Editing Text"
"Edit","Shift Left","⇧Tab","C/C++ Editor"
"Navigate","Go to Line","⌃X G","Editing Text"
"Source","References","⌥⌘K","In C/C++ Views"
"Navigate","Forward History","⌃⌘→","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","C/C++ Editor"
"Window","Show Contributing Plug-in","⇧⌥F3","In Dialogs and Windows"
"Editor Commands","Toggle Comment","⇧⌃C","Editing Text"
"Uncategorized","Copy SHA-1","⌘C","In Git Reflog View"
"Terminal view commands","Terminal view insert","⌥B","Terminal Typing Connected"
"Navigate","Open Include Browser","⌥⌘I","C/C++ Editor"
"File","Save","⌃X ⌃S","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Refactor - C++","Extract Constant - Refactoring ","⌥C","C/C++ Editor"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Terminal view commands","Maximize Active View or Editor","⌥↑","Terminal Widget in Focus"
"Changelog","Insert ChangeLog entry","⌃⌥C","Editing Text"
"Task Repositories","New Subtask","⇧⌥N","In Tasks View"
"Window","Close Dialog","⌘W","In Dialogs"
"Source","Open Element","⇧⌘O","In C/C++ Views"
"Terminal view commands","Terminal view insert","⌥Y","Terminal Typing Connected"
"Task Repositories","Mark Task Read and Go To Next Unread Task","⇧⌥↓","In Tasks View"
"Navigate","Quick Outline","⌃6","Task Markup Editor Source Context"
"Terminal view commands","Terminal view insert","⌥N","Terminal Typing Connected"
"Source","Sort Lines","⌃⌘S","C/C++ Editor"
"Source","Open Declaration","F3","In C/C++ Views"
"Source","Remove Block Comment","⇧⌘\","C/C++ Editor"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Edit","Find Next","⌘K","Editing Text"
"Navigate","Show In (Project Explorer)","⇧⌘J","In Windows"
"Text Editing","Line End","⌘→","Editing Text"
"Text Editing","Text End","⇧⌥>","Editing Text"
"Search","Find Text in Project","⌃⌘K","In Windows"
"Edit","Copy","Esc W","In Dialogs and Windows"
"Navigate","Previous","⇧⌘.","In Windows"
"Text Editing","Scroll Line Up","⌥Z","Editing Text"
"Source","Open Declaration","F3","In Macro Expansion Hover"
"Text Editing","Next Column","⌃F","Editing Text"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Text Editing","Text End","↘","Editing Text"
"Editor Commands","Organize patches","⇧⌃O","Specfile Editor Context"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Navigate","Backward History","⌃⌘←","In Windows"
"Run/Debug","Debug","⌘F11","In Windows"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks View"
"Edit","Incremental Find","⌘J","Editing Text"
"Text Editing","Next Word","Esc F","Editing Text"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Task Repositories","Quick Outline","⌃6","In Tasks Editor"
"Views","Show View (Call Hierarchy)","⌘7","In Windows"
"Navigate","Open Call Hierarchy","⌃⌘M","In C/C++ Views"
"Source","Forward","⌥→","In Macro Expansion Hover"
"Text Editing","Next Word","⌥F","Editing Text"
"Window","Next Perspective","⌘F8","In Windows"
"Source","Indent Line","⌘I","C/C++ Editor"
"Terminal view commands","Quick Access","⌥→","Terminal Widget in Focus"
"Source","Toggle Source/Header","⌃Tab","C/C++ Editor"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Text Editing","Previous Word","Esc B","Editing Text"
"Source","Open Element","⇧⌘O","C/C++ Editor"
"Text Editing","Recenter","⌃L","Editing Text"
"Text Editing","Text Start","⌃X [","Editing Text"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Edit","Delete","⌦","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⇧⌥↑","In Tasks View"
"Text Editing","Text End","⌘↘","Editing Text"
"Run/Debug","New Rendering","⌘N","In Memory View"
